Strategy,Symbol,Trades,Wins,Losses,WinRate,TotalPnL%,AvgPnL%,MaxDD%,Sharpe,Best%,Worst%
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,0.7295,0.0727,3.1803,0.0601,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,0.5831,0.0750,1.5936,0.1035,0.6000,-0.8000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,0.5831,0.0750,1.5936,0.1035,0.6000,-0.8000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,0.5831,0.0750,1.5936,0.1035,0.6000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.5819,0.0545,2.3785,0.0870,0.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.5819,0.0545,2.3785,0.0870,0.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,0.5819,0.0545,2.3785,0.0870,0.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.5819,0.0545,1.7892,0.0870,0.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.5819,0.0545,1.7892,0.0870,0.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,6,5,0.5455,0.5819,0.0545,1.7892,0.0870,0.6000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.5795,0.0857,2.3785,0.1002,1.0000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.5795,0.0857,2.3785,0.1002,1.0000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,0.5795,0.0857,2.3785,0.1002,1.0000,-0.6000
